Country/Territory,Edition,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4
Sao Tome and Principe,2013,4,4,3,4,4,3,3,4,2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,2,2
Saudi Arabia,2013,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,1
Senegal,2013,4,4,3,3,4,3,3,3,2,3,2,4,4,4,3,4,3,2,3,3,2,2,3,2,2
Serbia,2013,3,3,3,4,4,3,3,3,2,2,3,4,4,4,3,4,3,2,3,3,2,4,3,3,3
Seychelles,2013,3,3,2,3,2,3,2,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3
Sierra Leone,2013,3,3,4,3,3,3,3,3,2,3,3,4,3,3,3,3,2,2,2,3,2,3,3,2,2
Singapore,2013,1,2,1,2,2,2,2,2,3,2,2,3,2,3,2,1,1,1,2,2,2,3,3,3,3
Slovakia,2013,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3
Slovenia,2013,4,4,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,3,4,4,3,4,3,3,3
Solomon Islands,2013,2,2,2,3,3,2,2,2,2,2,3,4,4,3,3,3,3,2,2,2,2,3,3,3,3
Somalia,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Somaliland,2013,3,0,2,3,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1
South Africa,2013,4,4,4,4,2,4,4,3,2,3,3,4,4,4,3,4,4,3,3,2,2,4,3,2,2
South Korea,2013,4,4,3,4,4,4,3,4,3,3,3,4,3,4,4,3,4,4,3,3,3,4,3,2,3
South Ossetia,2013,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,2,0
South Sudan,2013,1,1,2,1,1,1,2,1,0,1,1,3,2,2,1,1,2,1,0,0,2,2,1,1,1
Spain,2013,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3
Sri Lanka,2013,2,2,2,2,1,2,1,2,1,1,1,2,2,3,2,1,3,1,2,1,1,2,2,2,2
