,country,2013,2014,2015,2016,2017,2018,2019,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4,Density (persons per sq. km.),Area (sq. km.),Population,Gdp,V2Peedueq Osp,V2X Feduni,V2Xdd Dd,cluster
1254,Germany,1,0,0,0,0,0,0,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,232.7,348672,81147265,3730000000000.0,3.4730000000000003,0.977,0.0,2
262,Ghana,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,2,3,3,3,3,3,2,2,123.5,227533,28102471,65556464048.0,1.34,0.152,0.0,0
460,Ghana,0,0,0,0,1,0,0,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,2,3,3,3,3,3,2,2,120.9,227533,27499924,58998132330.0,1.36,0.152,0.0,0
658,Ghana,0,0,0,1,0,0,0,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,2,3,3,3,3,3,2,2,118.3,227533,26908262,55009730600.0,1.2429999999999999,0.153,0.0,0
857,Ghana,0,0,1,0,0,0,0,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,2,115.7,227533,26327649,48564863888.0,1.409,0.15,0.0,0
1056,Ghana,0,1,0,0,0,0,0,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,2,113.2,227533,25758108,53660342160.0,1.409,0.11,0.0,0
1255,Ghana,1,0,0,0,0,0,0,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,2,2,110.8,227533,25199609,62405374786.0,1.409,0.11,0.0,0
263,Greece,0,0,0,0,0,1,0,4,4,4,4,4,4,3,3,2,3,3,3,4,4,4,4,4,3,3,3,2,4,3,3,3,81.7,130647,10669474,218000000000.0,3.592,0.8140000000000001,0.2,0
461,Greece,0,0,0,0,1,0,0,4,4,4,4,4,4,3,3,2,3,3,3,4,4,3,4,4,3,3,3,2,4,3,3,3,81.9,130647,10698163,204000000000.0,3.6,0.8140000000000001,0.2,0
659,Greece,0,0,0,1,0,0,0,4,4,4,4,4,4,3,3,2,3,3,3,4,4,3,4,4,3,3,2,2,4,3,3,3,81.9,130647,10703982,195000000000.0,3.6,0.838,0.2,0
858,Greece,0,0,1,0,0,0,0,4,4,4,4,4,4,3,3,2,3,3,3,4,4,3,4,4,3,3,2,2,4,3,3,3,82.1,130647,10728157,197000000000.0,3.6,0.838,0.2,0
1057,Greece,0,1,0,0,0,0,0,4,4,4,4,4,4,3,3,2,3,3,3,4,4,3,4,4,3,3,2,2,4,3,3,3,82.7,130647,10801129,237000000000.0,3.6,0.838,0.02,0
1256,Greece,1,0,0,0,0,0,0,4,4,4,4,4,4,3,3,2,3,3,3,4,4,3,4,4,3,3,2,2,4,3,3,3,83.2,130647,10872247,240000000000.0,3.6,0.838,0.02,0
265,Guatemala,0,0,0,0,0,1,0,3,3,2,3,3,2,2,2,2,1,2,4,3,3,2,2,2,2,2,2,1,3,2,2,1,154.7,107159,16581273,73118147808.0,0.605,0.441,0.0,0
463,Guatemala,0,0,0,0,1,0,0,3,3,2,3,3,2,2,2,2,1,2,4,3,2,2,2,2,2,2,1,1,3,2,2,1,152.1,107159,16296181,71612352781.0,0.7440000000000001,0.441,0.0,0
661,Guatemala,0,0,0,1,0,0,0,3,3,2,3,3,2,2,2,2,1,2,4,3,3,2,2,2,1,2,1,1,3,2,2,1,149.4,107159,16012280,66053725049.0,0.762,0.457,0.0,0
860,Guatemala,0,0,1,0,0,0,0,3,3,3,3,3,2,2,2,2,1,2,4,3,3,2,2,2,1,2,1,1,3,2,2,1,146.7,107159,15723664,62186186576.0,0.762,0.457,0.0,0
1059,Guatemala,0,1,0,0,0,0,0,3,3,3,3,3,2,2,2,2,1,2,4,3,3,2,2,2,2,2,1,1,3,2,2,1,144.0,107159,15426429,57852399834.0,0.762,0.457,0.0,0
1258,Guatemala,1,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,1,2,4,3,3,2,3,2,2,2,1,1,3,2,2,1,141.2,107159,15125751,52996540576.0,0.762,0.457,0.0,0
266,Guinea,0,0,0,0,0,1,0,3,1,2,2,2,2,2,1,1,1,1,3,3,3,1,2,2,1,1,1,1,1,2,1,1,48.2,245717,11855411,12207116729.0,1.026,0.073,0.0,0
464,Guinea,0,0,0,0,1,0,0,3,1,2,2,2,2,2,1,1,1,1,3,3,3,1,2,2,1,1,1,1,1,2,1,1,46.9,245717,11534306,10336634799.0,1.004,0.034,0.0,0
662,Guinea,0,0,0,1,0,0,0,3,1,2,2,2,2,2,1,1,1,1,3,2,3,1,2,2,1,1,1,1,1,2,1,1,45.7,245717,11224776,8603884845.0,1.172,0.034,0.0,0
861,Guinea,0,0,1,0,0,0,0,3,1,2,2,2,2,2,1,1,1,1,3,2,3,1,3,2,1,1,1,1,1,2,1,1,44.5,245717,10924395,8794202444.0,1.172,0.034,0.0,0
1060,Guinea,0,1,0,0,0,0,0,3,1,2,2,2,2,2,1,1,1,1,3,2,3,1,3,2,1,1,1,1,1,2,1,1,43.3,245717,10631955,8778473615.0,1.172,0.034,0.0,0
1259,Guinea,1,0,0,0,0,0,0,3,0,2,2,2,2,2,1,0,1,1,3,2,3,1,3,2,1,1,1,1,1,2,1,1,42.1,245717,10351174,8376613843.0,1.172,0.034,0.0,0
267,Guinea-Bissau,0,0,0,0,0,1,0,2,3,2,3,2,1,2,1,0,0,1,3,3,3,1,2,3,1,0,1,2,2,1,1,1,65.2,28120,1833247,1458156026.0,0.519,0.0,0.0,0
465,Guinea-Bissau,0,0,0,0,1,0,0,2,3,2,3,2,1,2,1,0,0,1,3,3,3,1,2,2,1,0,1,2,2,1,1,1,63.6,28120,1788610,1346841897.0,0.9309999999999999,0.0,0.0,0
663,Guinea-Bissau,0,0,0,1,0,0,0,2,3,2,3,2,1,2,1,0,0,1,3,3,3,1,2,2,1,0,0,2,2,1,1,1,62.1,28120,1745203,1178204501.0,0.9309999999999999,0.0,0.0,0
862,Guinea-Bissau,0,0,1,0,0,0,0,3,3,2,3,2,1,2,1,0,0,1,3,3,3,1,2,2,1,0,0,2,2,1,1,1,60.6,28120,1703302,1047808175.0,0.9309999999999999,0.0,0.0,0
1061,Guinea-Bissau,0,1,0,0,0,0,0,0,1,2,2,1,0,2,1,0,0,1,3,3,3,1,2,2,1,0,0,2,2,1,1,1,59.1,28120,1663186,1053512334.0,0.9309999999999999,0.0,0.0,0
1260,Guinea-Bissau,1,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,3,3,3,1,2,2,1,0,0,2,2,1,1,1,57.8,28120,1624345,1045790133.0,0.9309999999999999,0.0,0.0,0
268,Guyana,0,0,0,0,0,1,0,4,4,3,4,4,3,2,4,2,2,3,4,4,4,3,4,3,2,2,2,2,3,2,2,2,3.8,196849,740685,3878662621.0,2.1319999999999997,0.852,0.013000000000000001,0
466,Guyana,0,0,0,0,1,0,0,4,4,3,4,4,3,2,4,2,2,3,4,4,4,3,4,3,2,2,2,2,3,2,2,2,3.7,196849,737718,3555205811.0,2.217,0.39299999999999996,0.013000000000000001,0
664,Guyana,0,0,0,1,0,0,0,4,4,3,4,4,3,2,4,2,2,3,4,4,4,3,4,3,2,2,2,2,3,2,2,2,3.7,196849,735909,3504024213.0,2.415,0.451,0.013000000000000001,0
863,Guyana,0,0,1,0,0,0,0,4,4,3,4,4,3,2,3,1,2,3,4,4,4,3,4,3,2,2,1,2,3,2,2,2,3.7,196849,735222,3197220339.0,2.261,0.451,0.013000000000000001,0
1062,Guyana,0,1,0,0,0,0,0,4,4,3,4,4,3,2,4,1,2,3,4,4,4,3,4,3,2,2,1,2,3,2,2,2,3.7,196849,735554,3077643314.0,2.261,0.451,0.013000000000000001,0
1261,Guyana,1,0,0,0,0,0,0,4,4,3,4,4,3,2,4,1,2,3,4,4,4,2,4,3,2,2,1,2,3,2,2,2,3.7,196849,736805,2987684170.0,2.261,0.451,0.013000000000000001,0
71,Haiti,0,0,0,0,0,0,1,2,1,2,2,1,2,2,2,1,2,2,3,2,3,2,1,1,1,1,1,1,2,2,2,0,396.6,27560,10928926,8498981821.0,0.259,0.47,0.0,0
269,Haiti,0,0,0,0,0,1,0,2,1,2,2,1,2,2,2,1,2,2,3,2,3,2,1,1,1,1,1,1,2,2,2,0,391.5,27560,10788440,9658721170.0,0.221,0.47,0.0,0
467,Haiti,0,0,0,0,1,0,0,1,1,1,2,1,2,3,1,1,2,2,3,2,3,2,1,1,1,1,1,1,2,2,2,0,386.3,27560,10646714,8409497402.0,0.21899999999999997,0.469,0.0,0
665,Haiti,0,0,0,1,0,0,0,2,1,1,2,1,2,3,2,1,2,2,3,2,3,2,1,1,1,1,1,1,2,2,2,0,380.5,27560,10485800,7970649131.0,0.22399999999999998,0.46799999999999997,0.0,0
864,Haiti,0,0,1,0,0,0,0,2,1,1,2,1,2,3,2,1,2,2,3,2,3,2,1,1,1,1,1,1,2,2,2,0,372.1,27560,10254052,8724656126.0,0.22399999999999998,0.46799999999999997,0.0,0
1063,Haiti,0,1,0,0,0,0,0,2,1,1,3,1,2,3,2,1,2,2,3,2,3,2,1,2,1,1,1,1,2,2,2,0,364.6,27560,10047305,8775444942.0,0.22399999999999998,0.46799999999999997,0.0,0
72,Honduras,0,0,0,0,0,0,1,2,3,2,3,2,1,2,2,2,1,1,4,2,2,1,1,2,1,2,1,1,2,2,2,2,81.5,111890,9119204,25095395475.0,0.627,0.377,0.0,0
270,Honduras,0,0,0,0,0,1,0,2,3,2,3,2,1,2,2,2,1,1,4,2,2,1,1,2,1,2,1,1,2,2,2,2,80.5,111890,9001592,24024189736.0,0.568,0.426,0.0,0
468,Honduras,0,0,0,0,1,0,0,2,3,2,3,2,1,2,1,2,1,1,4,2,2,2,1,2,1,2,1,1,2,2,2,2,79.3,111890,8877729,23136232230.0,0.48100000000000004,0.441,0.0,0
666,Honduras,0,0,0,1,0,0,0,2,3,2,3,3,1,2,1,1,1,1,4,2,2,2,1,2,1,1,1,1,2,2,2,2,78.4,111890,8770113,21717622071.0,0.48100000000000004,0.441,0.0,0
865,Honduras,0,0,1,0,0,0,0,2,3,2,3,3,1,2,1,2,1,1,4,2,3,2,2,2,1,1,1,2,2,2,2,2,77.4,111890,8660816,20979767785.0,0.48100000000000004,0.441,0.0,0
1064,Honduras,0,1,0,0,0,0,0,2,3,2,3,3,1,2,1,2,1,1,4,3,3,2,2,2,1,1,1,2,3,2,2,2,76.4,111890,8546438,19756494435.0,0.48100000000000004,0.441,0.0,0
73,Hong Kong,0,0,0,0,0,0,1,0,1,1,2,1,1,3,1,3,2,2,4,2,4,2,4,2,2,3,3,3,3,3,4,3,6740.7,1073,7232810,366000000000.0,3.553,0.0,0.0,0
271,Hong Kong,0,0,0,0,0,1,0,0,1,1,2,1,1,3,1,3,2,2,4,2,4,2,4,2,2,3,3,3,3,3,4,3,6722.6,1073,7213338,362000000000.0,3.556,0.0,0.0,0
469,Hong Kong,0,0,0,0,1,0,0,0,2,1,2,1,1,3,1,3,2,2,4,2,4,2,4,2,2,4,3,3,3,3,4,3,6702.2,1073,7191503,341000000000.0,3.55,0.0,0.0,0
667,Hong Kong,0,0,0,1,0,0,0,0,2,1,2,1,1,3,1,3,2,2,4,2,4,2,4,2,3,4,4,3,3,3,4,3,6679.8,1073,7167403,321000000000.0,3.693,0.0,0.0,0
866,Hong Kong,0,0,1,0,0,0,0,0,2,1,2,1,1,3,1,3,2,2,4,3,4,2,4,2,3,4,4,4,3,3,4,3,6655.3,1073,7141106,309000000000.0,3.693,0.0,0.0,0
1065,Hong Kong,0,1,0,0,0,0,0,0,2,1,2,1,1,3,1,3,2,3,4,3,4,3,4,2,3,4,4,4,3,3,4,3,6628.8,1073,7112688,291000000000.0,3.693,0.0,0.0,0
272,Hungary,0,0,0,0,0,1,0,3,3,3,3,3,3,3,3,2,2,2,4,2,3,4,2,4,2,3,3,2,4,3,3,3,109.7,89608,9825704,158000000000.0,2.455,0.883,0.349,0
470,Hungary,0,0,0,0,1,0,0,3,3,3,4,3,3,3,3,2,2,2,4,3,4,4,3,4,2,3,3,2,4,3,3,3,109.9,89608,9850845,142000000000.0,2.838,0.927,0.365,0
668,Hungary,0,0,0,1,0,0,0,3,3,3,4,4,4,3,3,3,2,2,4,3,4,4,3,4,2,3,3,2,4,3,3,3,110.2,89608,9874784,128000000000.0,2.842,0.9259999999999999,0.38,0
867,Hungary,0,0,1,0,0,0,0,3,3,3,4,4,4,3,3,3,2,3,4,3,4,4,3,4,2,3,3,3,4,4,3,3,110.5,89608,9897541,125000000000.0,2.8360000000000003,0.9259999999999999,0.266,0
1066,Hungary,0,1,0,0,0,0,0,4,4,4,4,4,4,3,4,3,2,3,4,4,4,4,4,4,2,3,3,3,4,4,3,3,110.7,89608,9919128,141000000000.0,2.8360000000000003,0.9259999999999999,0.292,0
1265,Hungary,1,0,0,0,0,0,0,4,4,4,4,4,4,3,4,3,2,3,4,4,4,4,4,4,2,3,3,3,4,4,3,3,110.9,89608,9939470,135000000000.0,2.813,0.9259999999999999,0.318,0
273,Iceland,0,0,0,0,0,1,0,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3.4,100250,343518,25737594325.0,3.7880000000000003,0.49,0.145,0
471,Iceland,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3.4,100250,339747,24488176540.0,3.815,0.486,0.154,0
669,Iceland,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4,100250,335878,20618363256.0,3.78,0.486,0.163,0
868,Iceland,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.3,100250,331918,17389101641.0,3.78,0.486,0.163,0
1067,Iceland,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.3,100250,327872,17758050019.0,3.78,0.486,0.163,0
1266,Iceland,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.2,100250,323746,16033517406.0,3.78,0.486,0.163,0
274,India,0,0,0,0,0,1,0,4,4,4,4,4,3,3,4,2,3,3,3,3,4,4,3,3,3,2,2,2,3,3,2,2,436.2,2973193,1296834042,2710000000000.0,0.858,0.843,0.0,2
472,India,0,0,0,0,1,0,0,4,4,4,4,4,3,3,4,2,3,3,3,3,4,4,3,3,3,2,2,2,3,3,2,2,431.2,2973193,1281935911,2650000000000.0,0.9490000000000001,0.8809999999999999,0.0,2
670,India,0,0,0,1,0,0,0,4,4,4,4,4,3,3,4,2,3,3,3,3,4,4,3,3,3,2,2,2,3,3,2,2,426.1,2973193,1266883598,2290000000000.0,0.941,0.8809999999999999,0.0,2
869,India,0,0,1,0,0,0,0,4,4,4,4,4,3,3,4,2,3,3,3,3,4,4,4,3,3,2,2,2,3,3,2,2,421.0,2973193,1251695584,2100000000000.0,0.787,0.8809999999999999,0.0,2
1068,India,0,1,0,0,0,0,0,4,4,3,4,4,3,3,4,2,3,3,3,3,4,4,4,3,3,2,2,2,3,3,2,2,415.8,2973193,1236344631,2040000000000.0,0.7170000000000001,0.8809999999999999,0.0,2
1267,India,1,0,0,0,0,0,0,4,4,3,4,4,3,3,4,2,3,3,3,3,4,4,4,3,3,2,1,2,3,3,2,2,410.6,2973193,1220800359,1860000000000.0,0.721,0.882,0.0,2
275,Indonesia,0,0,0,0,0,1,0,4,4,3,4,4,3,2,3,1,2,3,1,4,4,2,3,3,2,1,1,1,3,2,2,2,145.1,1811569,262787403,1040000000000.0,1.35,0.953,0.0,0
473,Indonesia,0,0,0,0,1,0,0,4,4,3,4,4,3,3,3,1,2,3,1,4,4,2,3,3,2,1,1,1,3,2,2,2,143.8,1811569,260580739,1020000000000.0,1.431,0.953,0.0,0
671,Indonesia,0,0,0,1,0,0,0,4,4,3,4,4,3,3,3,1,2,3,1,4,4,2,3,3,2,1,1,1,3,2,2,2,142.6,1811569,258316051,932000000000.0,1.431,0.953,0.0,0
870,Indonesia,0,0,1,0,0,0,0,3,4,3,4,4,3,3,3,1,2,3,1,4,4,2,3,3,2,1,1,1,3,2,2,2,141.3,1811569,255993674,861000000000.0,1.431,0.953,0.0,0
1069,Indonesia,0,1,0,0,0,0,0,4,4,3,4,4,3,2,3,1,2,3,1,4,4,2,3,3,2,1,1,1,3,2,2,2,140.0,1811569,253609643,891000000000.0,1.3719999999999999,0.948,0.0,0
1268,Indonesia,1,0,0,0,0,0,0,4,4,3,4,4,3,2,3,1,2,3,1,4,4,2,4,3,2,1,1,1,3,2,2,2,138.6,1811569,251160124,913000000000.0,1.3719999999999999,0.948,0.0,0
474,Iran,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,53.6,1531595,82021564,445000000000.0,1.9869999999999999,0.025,0.0,0
871,Iran,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,52.2,1531595,79927977,385000000000.0,2.1590000000000003,0.027999999999999997,0.0,0
1070,Iran,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,51.4,1531595,78783743,433000000000.0,2.1590000000000003,0.027999999999999997,0.0,0
1269,Iran,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,50.7,1531595,77665975,460000000000.0,2.0140000000000002,0.027999999999999997,0.0,0
277,Iraq,0,0,0,0,0,1,0,2,3,3,3,2,1,1,1,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,1,85.1,437367,37205005,224000000000.0,1.624,0.46799999999999997,0.0,0
475,Iraq,0,0,0,0,1,0,0,2,3,3,2,2,0,1,1,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,1,83.2,437367,36384298,195000000000.0,1.374,0.46399999999999997,0.0,0
673,Iraq,0,0,0,1,0,0,0,2,3,3,2,2,0,1,1,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,1,81.4,437367,35616832,175000000000.0,1.375,0.46299999999999997,0.0,0
872,Iraq,0,0,1,0,0,0,0,2,3,3,2,2,0,1,1,0,0,1,1,1,2,1,2,1,0,0,0,0,1,1,1,1,79.7,437367,34848254,177000000000.0,1.406,0.474,0.0,0
1071,Iraq,0,1,0,0,0,0,0,2,2,3,2,2,0,1,1,0,0,1,1,1,2,1,2,1,0,0,0,0,1,1,1,1,77.8,437367,34024875,235000000000.0,1.406,0.474,0.0,0
1270,Iraq,1,0,0,0,0,0,0,2,2,3,2,1,0,1,1,0,0,1,1,1,2,1,2,1,0,0,0,0,1,1,1,1,75.3,437367,32940723,235000000000.0,1.406,0.474,0.0,0
278,Ireland,0,0,0,0,0,1,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,73.6,68883,5068050,383000000000.0,3.5410000000000004,0.41,0.0,0
476,Ireland,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,72.7,68883,5011102,336000000000.0,3.543,0.433,0.0,0
674,Ireland,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,71.9,68883,4952473,301000000000.0,3.4819999999999998,0.436,0.0,0
873,Ireland,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,71.0,68883,4892305,292000000000.0,3.477,0.436,0.0,0
1072,Ireland,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,70.2,68883,4832765,258000000000.0,3.488,0.436,0.0,0
1271,Ireland,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,69.3,68883,4775982,239000000000.0,3.4989999999999997,0.436,0.0,0
81,Israel,0,0,0,0,0,0,1,4,4,4,3,4,4,2,4,3,3,3,3,3,3,3,2,4,4,3,2,2,3,3,3,2,397.7,21497,8550149,395000000000.0,2.447,0.48,0.013000000000000001,0
279,Israel,0,0,0,0,0,1,0,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,2,4,4,3,2,2,3,3,3,2,391.9,21497,8424904,371000000000.0,2.468,0.48200000000000004,0.013000000000000001,0
477,Israel,0,0,0,0,1,0,0,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,4,4,3,2,2,3,3,3,2,386.1,21497,8299706,353000000000.0,2.454,0.48,0.013000000000000001,0
675,Israel,0,0,0,1,0,0,0,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,4,4,3,2,2,3,3,3,2,380.3,21497,8174527,319000000000.0,2.447,0.48,0.013000000000000001,0
874,Israel,0,0,1,0,0,0,0,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,4,4,3,2,2,3,3,3,2,374.4,21497,8049314,300000000000.0,2.447,0.48,0.013000000000000001,0
1073,Israel,0,1,0,0,0,0,0,4,4,4,3,4,4,3,4,3,3,2,3,3,4,4,3,4,4,3,2,2,3,3,3,2,368.5,21497,7921139,310000000000.0,2.447,0.48,0.013000000000000001,0
82,Italy,0,0,0,0,0,0,1,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,211.9,294140,62334799,2000000000000.0,3.597,0.995,0.0,2
280,Italy,0,0,0,0,0,1,0,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,211.6,294140,62246674,2090000000000.0,3.582,0.9940000000000001,0.0,2
478,Italy,0,0,0,0,1,0,0,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,211.3,294140,62137802,1960000000000.0,3.569,0.983,0.0,2
676,Italy,0,0,0,1,0,0,0,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,210.8,294140,62007540,1880000000000.0,3.4589999999999996,0.993,0.0,2
875,Italy,0,0,1,0,0,0,0,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,210.3,294140,61855120,1840000000000.0,3.4589999999999996,0.993,0.0,2
1074,Italy,0,1,0,0,0,0,0,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,209.7,294140,61680122,2160000000000.0,3.4589999999999996,0.993,0.0,2
281,Jamaica,0,0,0,0,0,1,0,4,4,4,4,4,2,3,4,3,2,4,4,4,3,3,3,3,3,2,2,1,3,3,2,3,259.6,10831,2812090,15713908816.0,2.546,0.486,0.0,0
479,Jamaica,0,0,0,0,1,0,0,4,4,4,4,4,2,3,4,3,2,4,4,4,3,3,3,3,2,2,2,1,3,2,2,3,259.7,10831,2813340,14806340821.0,2.428,0.486,0.0,0
677,Jamaica,0,0,0,1,0,0,0,4,4,4,4,4,2,3,4,3,2,4,4,4,3,3,3,3,2,2,2,1,3,2,2,3,259.8,10831,2814331,14075894320.0,2.501,0.48700000000000004,0.0,0
876,Jamaica,0,0,1,0,0,0,0,4,4,4,4,4,2,3,4,3,2,4,4,4,3,3,3,3,2,2,1,1,3,2,2,3,260.0,10831,2815891,14187696311.0,2.501,0.49,0.0,0
1075,Jamaica,0,1,0,0,0,0,0,4,4,4,4,4,2,3,4,3,2,4,4,4,3,3,3,3,2,2,1,1,3,2,2,3,260.2,10831,2818663,13897804560.0,2.451,0.49,0.0,0
1274,Jamaica,1,0,0,0,0,0,0,4,4,4,4,4,2,3,4,2,2,4,4,4,3,3,3,3,2,2,1,1,3,2,2,3,260.6,10831,2822460,14262589158.0,2.451,0.49,0.0,0
84,Japan,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,345.3,364485,125853035,5080000000000.0,3.862,0.985,0.0,2
282,Japan,0,0,0,0,0,1,0,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,346.2,364485,126168156,4950000000000.0,3.862,0.987,0.0,2
480,Japan,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,346.9,364485,126451398,4870000000000.0,3.859,0.987,0.0,2
678,Japan,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,347.6,364485,126702133,4920000000000.0,3.8539999999999996,0.99,0.0,2
877,Japan,0,0,1,0,0,0,0,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3,3,348.2,364485,126919659,4390000000000.0,3.8539999999999996,0.99,0.0,2
1076,Japan,0,1,0,0,0,0,0,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,4,3,4,4,4,3,4,3,3,3,348.7,364485,127103388,4850000000000.0,3.8539999999999996,0.99,0.0,2
85,Jordan,0,0,0,0,0,0,1,0,1,2,2,1,1,2,0,2,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,120.2,88802,10669786,43743661972.0,2.378,0.228,0.0,0
283,Jordan,0,0,0,0,0,1,0,0,1,2,2,1,1,2,0,2,1,1,2,2,2,1,1,1,2,1,2,2,2,2,2,2,117.8,88802,10458413,42231295775.0,1.9880000000000002,0.183,0.0,0
481,Jordan,0,0,0,0,1,0,0,0,1,2,2,1,1,2,0,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,115.4,88802,10248069,40708943662.0,2.255,0.174,0.0,0
679,Jordan,0,0,0,1,0,0,0,0,1,1,2,1,1,2,0,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,113.1,88802,10041098,39196676056.0,2.026,0.102,0.0,0
878,Jordan,0,0,1,0,0,0,0,0,1,1,2,1,1,2,0,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,109.0,88802,9677747,38043450704.0,2.4859999999999998,0.10400000000000001,0.0,0
1077,Jordan,0,1,0,0,0,0,0,0,1,1,2,1,1,2,0,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,101.3,88802,8998611,36329267606.0,2.4859999999999998,0.10400000000000001,0.0,0
86,Kazakhstan,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,2,1,0,1,0,1,1,1,1,2,2,2,2,7.0,2699700,18923073,180000000000.0,2.725,0.011000000000000001,0.0,0
284,Kazakhstan,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,2,1,0,1,0,1,1,1,1,2,2,2,2,6.9,2699700,18744548,179000000000.0,2.6919999999999997,0.009000000000000001,0.0,0
482,Kazakhstan,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,2,1,0,1,0,1,1,1,1,2,2,2,2,6.9,2699700,18556698,167000000000.0,2.775,0.01,0.0,0
680,Kazakhstan,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,2,1,1,1,0,1,1,1,1,2,2,2,2,6.8,2699700,18360353,137000000000.0,2.841,0.01,0.0,0
