,country,2013,2014,2015,2016,2017,2018,2019,A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4,E1,E2,E3,F1,F2,F3,F4,G1,G2,G3,G4,Density (persons per sq. km.),Area (sq. km.),Population,Gdp,V2Peedueq Osp,V2X Feduni,V2Xdd Dd,cluster
639,Denmark,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,135.1,42434,5733361,313000000000.0,3.79,0.981,0.185,0
838,Denmark,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,134.0,42434,5688232,303000000000.0,3.79,0.981,0.185,0
1037,Denmark,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,133.1,42434,5647207,353000000000.0,3.761,0.9620000000000001,0.185,0
1236,Denmark,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,132.4,42434,5617172,344000000000.0,3.761,0.9620000000000001,0.185,0
244,Djibouti,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,2,2,0,1,2,0,2,1,1,2,2,1,1,38.1,23180,884017,3012820410.0,0.986,0.371,0.0,0
442,Djibouti,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,2,2,0,1,2,0,2,1,1,2,2,1,1,37.3,23180,865267,2751461056.0,0.97,0.366,0.0,0
640,Djibouti,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,0,1,2,0,2,1,1,2,2,1,1,36.5,23180,846687,2603554907.0,0.9620000000000001,0.366,0.0,0
839,Djibouti,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,0,1,2,0,2,1,1,2,2,1,1,35.7,23180,828324,2430287967.0,0.9620000000000001,0.366,0.0,0
1038,Djibouti,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2,2,2,0,1,2,0,2,1,1,2,2,1,1,35.0,23180,810179,2214681574.0,0.9620000000000001,0.366,0.0,0
1237,Djibouti,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2,2,2,0,1,2,0,2,1,1,2,2,1,1,34.2,23180,792198,2042817163.0,0.9620000000000001,0.366,0.0,0
245,Dominica,0,0,0,0,0,1,0,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,3,4,4,3,4,98.6,751,74027,550892593.0,1.065,0.408,0.0,0
443,Dominica,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,98.4,751,73897,519837037.0,1.065,0.37,0.0,0
641,Dominica,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,98.2,751,73757,576229630.0,1.065,0.37,0.0,0
840,Dominica,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,98.0,751,73607,540737037.0,1.065,0.37,0.0,0
1039,Dominica,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,97.8,751,73449,520207407.0,0.9129999999999999,0.42,0.0,0
1238,Dominica,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,97.6,751,73286,498296296.0,0.9129999999999999,0.42,0.0,0
