State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kentucky,0.059941729,0.02336072,-0.011599396,-0.028845996,-0.042848177,-0.106354463,-0.089548912,-0.096728574,-0.049901126,-0.014180677,-0.046341107,-0.00292198,-0.153280424,-0.168580698,-0.153325687,-0.064983561,-0.011649355,-0.03757631,-0.04467009,-0.0470607
Louisiana,-0.074367298,-0.083917166,-0.122615803,-0.18333683,-0.20666367,-0.186748761,-0.185485928,-0.049123255,-0.00079454,-0.000902926,0.009860042,0.018247695,-0.068914174,-0.044280418,0.001722901,0.065603613,0.016355008,-0.02423638,-0.02485685,-0.02374088
Maine,0.002435238,-0.021271509,-0.054115732,-0.055930992,-0.064622428,-0.100853703,-0.046858896,-0.090525548,-0.014994091,-0.050149515,-0.031845934,0.029947882,-0.048039474,-0.067867223,-0.092537684,-0.048923063,-0.058930487,-0.06125402,-0.06125403,-0.06125403
Maryland,-0.256329762,-0.248,-0.269,-0.238,-0.229,-0.249,-0.221,-0.25678242,-0.244519163,-0.290751046,-0.26957206,-0.226123277,-0.303484096,-0.350419963,-0.313885917,-0.238859636,-0.207997125,-0.2557703,-0.2630111,-0.2497988
Massachusetts,0.185631156,0.108939617,0.087929649,0.085104688,0.103021843,0.105394947,0.089505531,-0.003928309,0.058541927,0.035540817,0.03662026,0.044685342,0.073990878,0.068953304,0.057369832,0.082992759,0.089588153,0.0748772,0.06502434,0.06048494
Michigan,0.082542308,0.064043973,0.027272502,0.004702945,-0.007706879,-0.01713053,0.002469686,-0.005788269,0.025283863,-0.007300725,0.02945264,0.111271024,0.053404777,0.075155121,0.07944261,0.163862802,0.15845171,0.1418745,0.1298169,0.1206821
Minnesota,-0.00830991,-0.003755112,-0.004617916,0.073875753,0.052957173,0.024121394,0.044320382,0.024314714,0.030515306,-0.025576342,-0.054848233,-0.006992753,-0.147764118,-0.103620989,-0.062670395,-0.057633011,-0.035280926,-0.03257765,-0.03084154,-0.02971959
Mississippi,-0.067633836,-0.061083899,-0.094856654,-0.126074557,-0.095380113,-0.078210864,-0.077806246,-0.107207367,-0.103872565,-0.121459514,-0.088457911,-0.060457786,-0.198705102,-0.187737195,-0.193666704,-0.101453862,-0.065821031,-0.09839733,-0.09839779,-0.09839779
Missouri,0.15780412,0.146899122,0.138049613,0.20311039,0.186087923,0.227499564,0.244813076,0.250267485,0.27074575,0.23694947,0.256223558,0.251039936,0.158245001,0.159528541,0.150241405,0.193562789,0.204716899,0.219208,0.2305588,0.2345944
Montana,0.096630635,0.108772657,0.108032359,0.063975362,0.062650329,0.081484682,0.078422904,0.095748568,0.061618314,0.090147574,0.073528816,0.094158325,-0.038679658,0.004646465,0.042198626,0.134820855,0.150018239,0.12734551,0.02567964,0.04909973
Nebraska,0.050786269,0.002139546,-0.066883937,-0.060658809,-0.054759293,-0.056202791,-0.014227351,0.034974499,0.067451361,0.067791527,0.024426941,0.12146867,-0.021924615,-0.045984202,-0.065243992,0.010043475,0.051119319,0.04527228,0.04527228,0.04527228
Nevada,0.354505736,0.356305408,0.341087279,0.330986131,0.32387845,0.350285008,0.303595773,0.253561319,0.209899011,0.156780341,0.190576525,0.207407468,0.132515788,0.170800804,0.222405826,0.279706298,0.324207859,0.3231175,0.3225158,0.3221751
New Hampshire,0.524242586,0.489262399,0.460251489,0.427844843,0.449205977,0.452149328,0.470928741,0.389881186,0.343139704,0.387187011,0.357225015,0.476515501,0.393565234,0.397638215,0.345375317,0.361123067,0.431441121,0.4143061,0.405056,0.399411
New Jersey,-0.148301952,-0.154463549,-0.190389899,-0.229045433,-0.29647101,-0.332934484,-0.344834124,-0.394479118,-0.375718859,-0.408712741,-0.384147123,-0.292735146,-0.383675961,-0.398222317,-0.378031777,-0.34697278,-0.35596588,-0.3677013,-0.3685268,-0.3685756
New Mexico,-0.266126882,-0.234949277,-0.301919383,-0.277698307,-0.273628367,-0.290210472,-0.238787116,-0.168627916,-0.114824711,-0.104795254,-0.148205548,-0.102314535,-0.214045087,-0.230272557,-0.167492076,-0.074350682,-0.067133721,-0.1176535,-0.1180051,-0.118013
New York,-0.651738437,-0.658147445,-0.716356927,-0.745104774,-0.799665524,-0.79,-0.76,-0.795,-0.82,-0.83,-0.867,-0.74,-0.778,-0.819,-0.797,-0.812,-0.811,-0.8050546,-0.8048963,-0.8048913
North Carolina,0.156717279,0.128860297,0.106130511,0.094275286,0.108301045,0.101749264,0.078138233,0.073741708,0.119638429,0.058456142,0.042023961,0.084907722,0.022275221,0.050175028,0.117402495,0.124163045,0.138439863,0.12193338,0.10795203,0.09260405
North Dakota,0.140693492,0.140261428,0.118405791,0.114050225,0.04157756,0.067381074,0.055497675,0.129867661,0.161342131,0.186743878,0.13196599,0.186345062,0.074116493,0.123176456,0.082435936,0.22756491,0.266158948,0.5447067,0.5449617,0.5449617
Ohio,-0.093602774,-0.122184313,-0.148908925,-0.114444747,-0.141599609,-0.113000777,-0.10308871,-0.100316357,-0.052516809,-0.058629745,-0.061782098,-0.023102733,-0.122441444,-0.083895717,-0.066371133,0.019735853,0.066703957,0.04483439,0.0259003,0.01043617
Oklahoma,-0.137738014,-0.090824788,-0.097291594,-0.06625101,-0.023125753,-0.007509679,0.024215331,0.037040428,0.069314879,-0.005103268,0.032857818,0.060279726,0.044045337,0.082619018,0.14454152,0.118439725,0.12714627,0.1156783,0.1095685,0.1061216
Oregon,-0.06254092,-0.063769816,-0.106504007,-0.13094246,-0.140429683,-0.126547197,-0.051109146,-0.047362617,-0.046975442,-0.141304907,-0.163142937,-0.135336604,-0.19841101,-0.198007796,-0.175447099,-0.122503393,-0.132639833,-0.1314711,-0.1306955,-0.1301814
Pennsylvania,0.24514525,0.242454618,0.203806756,0.187776986,0.153590343,0.142674864,0.143480001,0.156420826,0.19663717,0.170445931,0.163687114,0.158627506,0.023993009,0.048420848,0.097675379,0.108138363,0.116579774,0.1145905,0.113364,0.1126139
Rhode Island,0.049294832,0.048994505,0.004721622,-0.006898444,-0.03889479,-0.050170054,-0.01791105,-0.089384779,-0.091987965,-0.056784368,-0.038217599,-0.155741897,-0.2008069,-0.171578413,-0.090401801,-0.08639659,-0.08673193,-0.09289951,-0.09703181,-0.09975565
South Carolina,-0.021717159,-0.010819206,-0.048017342,-0.085584597,-0.04552719,-0.037248538,-0.042807241,0.003306397,0.038530675,0.020228259,0.04233074,0.066892065,-0.07911515,-0.056499651,-0.0034475,0.031207878,0.032855956,0.02210459,0.02210459,0.02210459
South Dakota,0.301822513,0.282157977,0.287462687,0.314317223,0.310851123,0.304818737,0.314076987,0.39485659,0.381978454,0.35087349,0.38636384,0.405927478,0.283632978,0.235822091,0.194104863,0.266540235,0.258319273,0.2430306,0.2382612,0.2375436
Tennessee,0.400465934,0.374131807,0.319648823,0.315428047,0.301777168,0.25761155,0.263016597,0.313919446,0.290538392,0.264248368,0.302890668,0.280392227,0.15328382,0.173705274,0.195767851,0.264532356,0.26376276,0.257076,0.2532173,0.251025
Texas,0.046800087,0.030069527,0.008482939,-0.025456025,0.012067457,0.05008161,0.066145673,0.069980818,0.077042845,0.019998756,0.065711701,0.109076439,0.015416459,0.021728929,0.04751026,0.093567513,0.093267715,0.06332352,0.06280746,0.06277731
Utah,0.032480869,0.040758606,0.031903163,0.021345735,0.005200855,0.018560767,0.061188594,0.090465358,0.132099253,0.134391001,0.05581107,0.085676822,-0.039392512,0.008259421,0.070909165,0.093747668,0.091068189,0.07772187,0.07125926,0.06790554
Vermont,0.039261538,0.014144114,-0.028372642,-0.077909766,-0.177861413,-0.211799961,-0.214955503,-0.180057784,-0.14240637,-0.160973554,-0.163725876,-0.107951974,-0.20596612,-0.208432272,-0.193621141,-0.211023117,-0.269445036,-0.2042359,-0.1968122,-0.1954919
Virginia,0.251829069,0.246622554,0.216836075,0.205524631,0.200706363,0.193032877,0.189207045,0.188785949,0.205085562,0.200105786,0.223773829,0.235015868,0.121908701,0.146751668,0.172469825,0.170725182,0.173304579,0.1794138,0.1852886,0.1906204
Washington,-0.036413677,-0.086675372,-0.120855414,-0.114097141,-0.102484566,-0.153852748,-0.158117785,-0.140678624,-0.103730913,-0.156422186,-0.175633362,-0.046978643,-0.077756288,-0.065349211,-0.007512735,-0.018589957,-0.025128565,-0.04321236,-0.04321238,-0.04321238
West Virginia,-0.022837817,0.015941025,-0.008524065,-0.039447903,-0.111022239,-0.178225193,-0.159825962,-0.190203489,-0.087129911,-0.06518961,-0.094987623,-0.074033146,-0.209773768,-0.181550429,-0.142529723,-0.087102802,-0.01853444,-0.1074144,-0.1600251,-0.2152987
Wisconsin,-0.087040922,-0.073490022,-0.095017201,-0.134129684,-0.124740802,-0.103674914,-0.094144483,-0.109570051,-0.097353855,-0.143449211,-0.172350915,-0.054808335,-0.156312608,-0.058793783,0.012818419,0.079724288,0.074699667,0.08149428,0.08155613,0.08155657
Wyoming,0.036108912,-0.037260509,-0.015857865,0.02637347,-0.010207136,0.017073866,0.017186565,-0.143396114,-0.184036821,-0.296172761,-0.140656801,-0.073540292,-0.075222342,-0.122010088,-0.070879336,-0.055491469,-0.03799921,-0.04181923,-0.04181923,-0.04181923
